time(ms),x-accel,y-accel,z-accel
7658300.000002783,-0.081161,-1.070236,0.089539
7685450.000000856,-0.079239,-1.007584,0.001312
7712590.00000282,-0.016495,-0.983139,0.084335
7739779.999999883,0.078247,-0.954056,0.14801
7766930.0000015935,0.104858,-1.046295,0.065399
7794079.999999667,0.006989,-1.082123,0.138336
7821230.000001378,-0.107468,-1.02951,0.178223
7848380.00000309,-0.223587,-1.165619,0.15802
7875570.000000153,-0.366577,-1.494247,-0.001602
7902710.000002116,-0.273819,-1.47937,-0.070312
7929869.999999937,-0.002487,-1.263901,0.238602
7957020.000001648,0.558945,-1.988922,0.405197
7984169.999999722,1.343536,-2.101074,0.336502
8011360.000000423,1.375885,-1.260773,-0.334732
8038510.000002134,0.576157,-1.065994,-0.493408
8065669.999999954,-0.180115,-0.198395,-0.220749
8092810.0000019185,-0.61937,-0.063843,0.389999
8119969.999999739,-0.631027,-0.519363,0.366791
8147160.00000044,-0.155914,-1.043182,0.239487
8174310.000002151,0.154892,-0.910339,0.341187
8201460.000000224,0.2565,-1.169724,0.3452
8228610.000001936,0.215103,-1.446274,0.374756
8255750.000000262,0.075073,-1.687149,0.439651
8282950.00000071,-0.103195,-1.907013,0.38591
8310100.000002421,-0.239395,-2.041016,0.419479
8337250.0000004945,-0.025772,-1.5354,1.093536
8364400.000002206,0.677322,-0.842026,1.725327
8391550.00000028,1.354034,-0.289169,1.99144
8418730.000001233,1.472855,-0.085709,0.98732
8445880.000002945,1.272354,-1.375351,-0.280853
8473030.000001017,-0.295609,-2.035782,-3.260651
8500170.000002982,-0.070465,-1.394623,-0.025681
8527320.000001054,-0.115524,-2.582504,2.890381
8554510.000001755,-0.593506,-0.892929,0.343658
8581659.999999829,-0.396805,-1.014618,-0.200104
8608810.00000154,-0.2948,-0.684494,-0.75824
8635949.999999866,-0.010956,-0.882401,-0.89595
8663100.000001578,0.159027,-1.084488,-0.416031
8690280.000002531,-0.020111,-0.96051,0.036697
8717440.000000352,-0.232498,-1.010239,0.164841
8744590.000002064,-0.254593,-1.013214,-0.046585
8771730.00000039,-0.127014,-1.040771,-0.108627
8798880.000002101,-0.027344,-1.031662,0.016418
8826070.000002801,0.031876,-1.057404,0.148575
8853220.000000874,0.029785,-1.047012,0.214279
8880370.000002585,-0.052887,-1.00528,0.172806
8907530.000000406,-0.039368,-1.019608,0.058914
8934670.00000237,-0.019089,-1.060486,0.028534
8961860.000003072,-0.048737,-1.107727,0.015091
8989010.000001144,-0.180008,-1.078293,0.170547
9016160.000002855,-0.233719,-1.240646,0.177872
9043310.00000093,-0.326599,-1.352631,-0.092575
9070450.000002893,-0.321838,-1.219543,-0.020721
9097639.999999955,-0.248169,-1.870148,-0.386459
9124790.000001667,0.238434,-1.556046,0.34285
9151939.999999741,1.416412,-3.219925,0.503738
9179080.000001704,0.551315,-0.515686,-0.224731
9206240.000003163,0.910904,-1.672104,-0.505203
9233420.000000479,-0.108673,-0.232971,-0.503571
9260570.00000219,-0.592712,-0.029388,-0.406784
9287720.000000263,-0.564651,-0.466461,0.058868
9314870.000001974,-0.088699,-0.989853,0.237091
9342020.000000048,0.21344,-1.011749,0.426071
9369210.000000749,0.349869,-1.331085,0.383148
9396360.00000246,0.342987,-1.501709,0.285767
9423510.000000533,0.28714,-1.641708,0.242844
9450660.000002244,0.153915,-1.942383,0.329102
9477810.000000319,0.004288,-1.878708,0.633926
9504990.00000127,0.475311,-1.281448,1.237091
9532140.000002982,0.92691,-0.814484,1.409225
9559290.000001056,1.407471,-0.329407,1.450058
9586440.000002768,1.386871,-0.334396,0.804718
9613580.000001093,1.199844,-0.943344,0.099854
9640770.000001794,0.006836,-1.871613,-0.778976
9667910.00000012,-0.558105,-2.961594,0.28096
9695070.00000158,-0.775162,-0.723831,2.170685
9722219.999999652,-0.523392,-1.149292,0.314117
9749370.000001363,-0.217682,-0.639877,-0.688843
9776560.000002064,0.041519,-0.970322,-0.933731
9803710.000000138,0.150131,-1.100296,-0.367264
9830860.000001848,-0.128693,-1.010208,0.05867
9858009.999999922,-0.310028,-1.030594,0.163773
9885160.000001634,-0.253876,-1.077682,-0.066528
9912350.000002334,-0.08429,-1.035019,-0.041595
9939490.00000066,-0.01004,-1.04126,0.061584
9966640.000002371,0.040756,-1.004562,0.04274
9993790.000000445,0.017365,-0.959335,-0.051895
1.0020950000001904E7,0.00296,-0.938889,0.045517
1.0048130000002857E7,0.013214,-0.969986,0.147705
1.007528000000093E7,-0.033615,-1.074265,0.007812
1.0102430000002641E7,-0.089584,-1.076965,-0.03067
1.0129580000000715E7,-0.183701,-1.028519,0.143265
1.0156730000002425E7,-0.21463,-1.155762,0.387222
1.0183920000003127E7,-0.4104,-1.411545,-0.057098
1.02110700000012E7,-0.532654,-1.552902,-0.151382
1.0238220000002911E7,-0.298004,-1.65802,-0.182846
1.0265370000000985E7,0.727005,-2.242661,0.13504
1.0292530000002444E7,1.481354,-1.802032,0.573364
1.0319720000003144E7,0.880295,-1.30838,-0.458908
1.0346870000001218E7,0.227936,-0.600403,-0.546875
1.0374020000002928E7,-0.401596,-0.059296,-0.25264
1.0401170000001002E7,-0.632263,-0.125214,0.013535
1.0428210000001855E7,-0.520874,-0.669174,0.047714
1.0455509999999776E7,-0.07991,-1.064941,0.387421
1.0482660000001488E7,0.041336,-1.232101,0.285187
1.05098100000032E7,0.163773,-1.496368,0.306259
1.053697000000102E7,0.178009,-1.621811,0.193863
1.056412000000273E7,0.051987,-1.856552,0.366638
1.0591300000000047E7,0.108185,-1.922302,0.489655
1.0618450000001758E7,0.370346,-1.594086,1.063599
1.064559999999983E7,0.602615,-0.72879,1.067291
1.0672750000001542E7,1.164368,-0.607864,1.404938
1.0699900000003254E7,1.289902,-0.285538,1.048248
1.0727100000000063E7,1.228912,-1.745621,0.345871
1.075423000000228E7,0.682526,-0.989441,-0.073959
1.078139999999985E7,-0.613007,-1.004333,-0.115646
1.080855000000156E7,-0.529327,-2.926712,1.011688
1.083571000000302E7,-0.531128,-0.981445,1.678009
1.0862890000000333E7,-0.404663,-0.768051,-0.322861
1.0890040000002045E7,-0.17337,-0.914871,-0.954758
1.0917199999999866E7,0.178864,-0.984085,-0.300476
1.0944350000001578E7,-0.051422,-1.056427,0.226578
1.097149999999965E7,-0.266174,-1.020508,0.147934
1.0998680000000603E7,-0.228668,-1.060318,-0.216293
1.1025830000002315E7,-0.099823,-1.017853,-0.011047
1.1052990000000136E7,-0.082169,-1.029968,0.011826
1.1080140000001848E7,0.057449,-1.012894,0.094452
1.1107289999999922E7,0.026077,-0.993042,-0.051758
1.1134470000000874E7,-0.005936,-0.968246,0.038406
1.1161620000002585E7,-0.024246,-1.025742,0.191483
1.1188780000000406E7,-0.048721,-1.051941,0.11409
1.1215930000002118E7,-0.101669,-1.057953,0.070999
1.124308000000019E7,-0.137192,-1.035233,0.202209
1.1270260000001144E7,-0.201859,-1.212143,0.215118
1.1297410000002855E7,-0.495071,-1.457657,-0.19249
1.132456000000093E7,-0.416428,-1.469269,-0.005554
1.1351710000002641E7,-0.182617,-1.599579,0.05368
1.1378860000000713E7,0.666946,-2.300659,0.385941
1.1406050000001414E7,1.221329,-1.596527,0.556992
1.1433200000003126E7,1.081345,-1.65332,-0.546677
1.1460360000000946E7,0.472214,-0.963516,-0.686508
1.1487510000002658E7,-0.397781,-0.252731,-0.502609
1.1514650000000983E7,-0.580231,-0.209106,0.035583
1.1541840000001684E7,-0.501892,-0.396561,0.32045
1.1568989999999758E7,0.107986,-0.912094,0.361115
1.159614000000147E7,0.1931,-0.929306,0.137161
1.1623300000002928E7,0.309174,-1.282242,0.283646
1.1650450000001002E7,0.391006,-1.565491,0.366608
1.1677630000001954E7,0.300095,-1.805527,0.304199
1.1704780000000028E7,0.156479,-2.138687,0.251633
1.173193000000174E7,-0.068756,-2.211105,0.557281
1.1759079999999812E7,0.25,-1.188278,1.506104
1.178624000000127E7,1.239792,-0.648087,2.343491
1.1813420000002224E7,1.567886,0.192261,1.516098
1.1840570000000298E7,1.700546,-0.931763,0.580444
1.186772000000201E7,0.116806,-1.805084,-1.618622
1.1894870000000082E7,-0.22731,-0.781998,-0.190323
1.1922020000001794E7,0.021683,-2.3582,1.384811
1.1949210000002494E7,-0.502869,-0.999954,1.426208
1.1976360000000568E7,-0.384155,-1.136429,0.02533
1.200351000000228E7,-0.244705,-0.860123,-0.470383
1.2030660000000352E7,-0.25441,-0.869461,-0.816315
1.2057810000002064E7,-0.022888,-1.02269,-0.583099
1.2084990000003017E7,0.024307,-1.014008,-0.141464
1.2112140000001092E7,-0.138489,-1.029541,0.122971
1.2139290000002801E7,-0.284912,-0.999405,0.064285
1.2166290000001026E7,-0.216599,-1.058762,-0.19075
1.2193440000002738E7,0.003845,-1.015625,0.068481
1.2220620000000054E7,0.053711,-1.027695,0.108383
1.2247770000001766E7,-0.013779,-1.014069,0.143845
1.2274930000003224E7,-0.016434,-0.992279,0.10907
1.2302080000001296E7,-0.052353,-1.059433,0.03891
1.2329230000003008E7,-0.121674,-1.112305,-0.050964
1.235642000000007E7,-0.180939,-1.092575,0.116409
1.2383570000001783E7,-0.308884,-1.224335,0.231094
1.2410719999999855E7,-0.436188,-1.366806,-0.039978
1.243786000000182E7,-0.53035,-1.700119,-0.185867
1.2465009999999892E7,-0.433823,-1.468307,-0.247711
1.2492200000000594E7,0.240738,-1.66185,0.125046
1.2519340000002557E7,1.708099,-2.551208,0.679108
1.2546490000000631E7,0.89502,-1.530563,-0.590393
1.257365000000209E7,0.801956,-1.284088,-0.620392
1.2600790000000415E7,-0.080536,-0.200699,-0.400177
1.2627970000001369E7,-0.392303,-0.120193,-0.02771
1.265512000000308E7,-0.48645,-0.293915,0.499908
1.2682270000001153E7,-0.154373,-0.970245,0.253784
1.2709420000002865E7,0.032837,-0.92189,0.132797
1.2736570000000939E7,0.123215,-1.05336,0.196411
1.2763750000001892E7,0.175064,-1.475327,0.351486
1.2790899999999965E7,0.255768,-1.783066,0.54071
1.2818050000001676E7,0.097244,-1.940704,0.42865
1.2845190000000002E7,0.089401,-2.118134,0.565384
1.2872340000001714E7,0.311935,-1.486984,1.206284
1.2899530000002414E7,0.853973,-0.76889,1.463669
1.2926680000000488E7,1.925766,-0.312881,2.269058
1.29538300000022E7,1.539505,-0.189163,0.778122
1.2980980000000272E7,0.763702,-1.699097,-0.681961
1.3008120000002237E7,-0.167511,-1.29335,-1.140259
1.3035310000002937E7,0.008392,-1.410706,0.599899
1.306246000000101E7,-0.544373,-3.141693,2.626785
1.3089610000002721E7,-0.513885,-0.766068,0.100281
1.3116760000000795E7,-0.238113,-1.041229,-0.37944
1.3143910000002507E7,-0.224365,-1.027588,-0.690262
1.3171089999999821E7,-0.023331,-1.00293,-0.390503
1.3198240000001533E7,4.88E-4,-1.012604,-0.060318
1.3225379999999858E7,-0.159729,-1.008286,0.010971
1.3252540000001319E7,-0.230194,-1.036179,-0.104645
1.3279690000003029E7,-0.165344,-1.028137,-0.114456
1.3306870000000345E7,0.155487,-1.015289,0.248703
1.3334020000002056E7,0.03009,-1.021545,0.025558
1.3361170000000129E7,-0.068344,-0.982101,-0.126389
1.338832000000184E7,-0.043686,-0.958817,0.095215
1.3415469999999914E7,-0.022049,-1.065262,0.099228
1.3442660000000615E7,-0.051086,-1.105957,0.029083
1.3469800000002578E7,-0.205231,-1.137009,0.044662
1.3496960000000399E7,-0.311554,-1.184296,0.216232
1.352411000000211E7,-0.470413,-1.483185,0.062424
1.3551250000000436E7,-0.491806,-1.477188,-0.174667
1.3578440000001138E7,-0.140381,-1.802155,-0.174286
1.3605590000002848E7,0.460129,-1.998764,0.497772
1.3632730000001175E7,1.252716,-2.402206,0.610748
1.3659880000002885E7,0.477768,-0.942474,-0.533722
1.368703000000096E7,0.496841,-1.002594,-0.594223
1.3714210000001913E7,-0.225815,-0.295059,-0.578018
1.3741359999999985E7,-0.294403,-0.244965,-0.143066
1.3768510000001697E7,-0.043213,-0.465347,0.379272
1.379565999999977E7,0.135498,-0.812531,0.422913
1.3822810000001483E7,0.198288,-0.901108,0.226913
1.3849990000002436E7,0.335724,-1.147736,0.412354
1.3877140000000509E7,0.160156,-1.378723,0.331223
1.390429000000222E7,0.204407,-1.712723,0.287369
1.3931440000000294E7,0.049042,-2.028442,0.213821
1.3958590000002004E7,0.010437,-2.468109,0.956299
1.3985780000002705E7,0.249161,-0.97731,1.474915
1.4012930000000779E7,1.458038,-0.745193,2.036789
1.404008000000249E7,1.701004,0.104813,1.279144
1.4067230000000563E7,1.851334,-1.177032,0.258148
1.4094380000002274E7,0.106644,-1.57106,-1.86673
1.4121560000003228E7,-0.29306,-0.783142,-0.267273
1.4148710000001302E7,-0.318527,-2.212082,1.398529
1.4175860000003014E7,-0.329544,-0.815247,1.357727
1.420300000000134E7,-0.179489,-1.048355,-0.062927
1.4230139999999665E7,-0.342514,-0.899597,-0.65834
1.4257330000000365E7,-0.069717,-1.045059,-0.3918
1.428447000000233E7,-0.056473,-1.134583,0.269653
1.4311620000000402E7,-0.162323,-1.025345,0.324982
1.4338770000002114E7,-0.131714,-0.980606,-0.307861
1.436591000000044E7,-0.107941,-0.979599,-0.409561
1.439310000000114E7,-0.100403,-1.0354,-0.062103
1.4420240000003105E7,-0.022598,-1.041992,0.346313
1.4447400000000926E7,-0.01265,-1.029922,0.284409
1.4474550000002638E7,-0.002548,-0.957977,-0.09761
1.450170000000071E7,0.055771,-0.914841,-0.124191
1.4528880000001663E7,0.123047,-0.962402,0.021454
1.4556040000003122E7,0.11879,-1.040283,0.02124
1.4583190000001196E7,-0.068344,-1.059067,0.087021
1.4610350000002654E7,-0.175659,-1.070877,0.182892
1.4637500000000728E7,-0.244644,-1.199448,0.168076
1.4664690000001429E7,-0.320572,-1.360275,-0.092514
1.4691850000002887E7,-0.453445,-1.274109,0.007507
1.4719000000000961E7,-0.265564,-1.662598,0.059967
1.4746150000002671E7,-0.003723,-1.422714,0.566574
1.4773300000000745E7,1.163376,-3.181229,1.015579
1.4800490000001445E7,0.840576,-0.365585,0.135391
1.4827640000003157E7,1.037109,-1.851868,-0.911209
1.4854790000001231E7,0.113998,-0.306931,-0.793533
1.4881940000002941E7,-0.400925,-0.064362,-0.515778
1.4909090000001015E7,-0.417633,-0.369034,0.026657
1.4936280000001715E7,-0.341705,-0.6931,0.49292
1.496342999999979E7,-0.018829,-0.923889,0.676147
1.4990570000001753E7,0.220718,-1.114044,0.386337
1.5017719999999827E7,0.218628,-1.332611,0.414795
1.5044880000001285E7,0.176147,-1.527695,0.323029
1.5072060000002239E7,0.351959,-1.804367,0.363266
1.5099210000000313E7,0.185715,-1.907898,0.358032
1.5126360000002023E7,0.031311,-1.713638,0.836136
1.5153510000000097E7,0.469727,-1.025589,1.141174
1.518065000000206E7,0.918396,-0.575089,1.201721
1.520784000000276E7,1.302979,-0.388901,0.931778
1.5234990000000834E7,1.345901,-1.339478,0.33963
1.5262140000002546E7,0.59082,-1.364639,0.111618
1.5289280000000872E7,0.131195,-1.545792,-0.652771
1.5316430000002583E7,-0.827087,-0.731491,-0.297836
1.53436099999999E7,-1.319107,-2.511719,1.113754
1.537076000000161E7,-0.423874,-1.080444,0.688828
1.5397899999999937E7,-0.01712,-1.111267,0.197708
