time (ms), x-accel, y-accel, z-accel
4571.49999999092, -0.490417, 1.123596, 0.509949
4596.749999996973, -0.49765, 1.079254, 0.50798
4622.00999999186, -0.496201, 1.112411, 0.462601
4647.279999990133, -0.458969, 1.26297, 0.439194
4672.529999996186, -0.366043, 1.268341, 0.411636
4697.799999994459, -0.326996, 1.115906, 0.357254
4723.050000000512, -0.309082, 1.006516, 0.315903
4748.279999999795, -0.264114, 0.982681, 0.2789
4773.569999990286, -0.21701, 0.962067, 0.295578
4798.81999999634, -0.291428, 0.870117, 0.253296
4824.089999994612, -0.258163, 0.858948, 0.222153
4849.340000000666, -0.324463, 0.817139, 0.19545
4874.589999992168, -0.224701, 0.796158, 0.206589
4899.85999999044, -0.212326, 0.742233, 0.197769
4925.109999996494, -0.243896, 0.740952, 0.170517
4950.379999994766, -0.278931, 0.741257, 0.17981
4975.63000000082, -0.265472, 0.701889, 0.193329
5000.879999992321, -0.269653, 0.68956, 0.196945
5026.149999990594, -0.283112, 0.684448, 0.203674
5051.399999996647, -0.276703, 0.678162, 0.210663
5076.66999999492, -0.27507, 0.736191, 0.220306
5101.920000000973, -0.294586, 0.78775, 0.241852
5127.169999992475, -0.323715, 0.801361, 0.286331
5152.439999990747, -0.328949, 0.797852, 0.337662
5177.689999996801, -0.328262, 0.885101, 0.344727
5202.959999995073, -0.355331, 1.027054, 0.319153
5228.210000001127, -0.398758, 1.109482, 0.302795
5253.459999992629, -0.424576, 1.112167, 0.342804
5278.729999990901, -0.404114, 1.000153, 0.430374
5303.979999996955, -0.382416, 0.990814, 0.46225
5329.249999995227, -0.367203, 1.02359, 0.451035
5354.500000001281, -0.379181, 0.998505, 0.420868
5379.749999992782, -0.387802, 0.995667, 0.397675
5405.010000002221, -0.374039, 0.977676, 0.368713
5430.259999993723, -0.384842, 0.887421, 0.363052
5455.529999991995, -0.390366, 0.77739, 0.312195
5480.7699999946635, -0.331314, 0.721039, 0.292694
5506.020000000717, -0.359573, 0.737732, 0.289749
5531.2899999989895, -0.420715, 0.752457, 0.289017
5556.539999990491, -0.473648, 0.764008, 0.31868
5581.809999988764, -0.474426, 0.761246, 0.351898
5607.059999994817, -0.465164, 0.774384, 0.355652
5632.299999997485, -0.465637, 0.794342, 0.360855
5657.569999995758, -0.480515, 0.839417, 0.384567
5682.820000001811, -0.480118, 0.889191, 0.406281
5708.090000000084, -0.486984, 0.891998, 0.429443
5733.3399999915855, -0.500076, 0.878342, 0.427338
5758.589999997639, -0.484802, 0.900497, 0.425156
5783.869999999297, -0.459869, 0.916595, 0.425339
5809.1199999907985, -0.465027, 0.999588, 0.437485
5834.389999989071, -0.502014, 1.052719, 0.481674
5859.64999999851, -0.502533, 0.999268, 0.477478
5884.899999990012, -0.442978, 1.073792, 0.410309
5910.169999988284, -0.370132, 1.231979, 0.402802
5935.289999993984, -0.343246, 1.169571, 0.398285
5960.559999992256, -0.355179, 1.025955, 0.332092
5985.80999999831, -0.312744, 0.982941, 0.280121
6011.069999993197, -0.218018, 0.996887, 0.272263
6036.339999991469, -0.233017, 0.965744, 0.227142
6061.600000000908, -0.22583, 0.942902, 0.247665
6086.86999999918, -0.269302, 0.911209, 0.238831
6112.119999990682, -0.244843, 0.898254, 0.222336
6137.380000000121, -0.202209, 0.865097, 0.188736
6162.6499999983935, -0.179916, 0.828049, 0.170563
6187.9099999932805, -0.186523, 0.789566, 0.165405
6213.179999991553, -0.18573, 0.750824, 0.166595
6238.4299999976065, -0.210449, 0.705917, 0.157974
6263.679999989108, -0.238098, 0.655258, 0.166992
6288.959999990766, -0.229202, 0.630035, 0.182617
6314.2099999968195, -0.242111, 0.687241, 0.204926
6339.479999995092, -0.273941, 0.758469, 0.229004
6364.7300000011455, -0.316345, 0.817993, 0.252274
6389.979999992647, -0.321854, 0.858612, 0.301132
